C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,D,Braydon Coburn (15299724),Braydon Coburn,15299724,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,TB,3.26
,,,,,,,,,,D,Jan Rutta (15299726),Jan Rutta,15299726,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,TB,4.34
,,,,,,,,,,D,Noah Dobson (15299728),Noah Dobson,15299728,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,4.13
,,,,,,,,,,D,Sebastian Aho (15299738),Sebastian Aho,15299738,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,D,Thomas Hickey (15299740),Thomas Hickey,15299740,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,D,Cameron Gaunce (15299748),Cameron Gaunce,15299748,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,TB,11.2
,,,,,,,,,,D,Daniel Walcott (15299752),Daniel Walcott,15299752,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,TB,0
,,,,,,,,,,D,Seth Helgeson (15299754),Seth Helgeson,15299754,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,D,Jordan Schmaltz (15299760),Jordan Schmaltz,15299760,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,D,Grant Hutton (15299766),Grant Hutton,15299766,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,NYI,0
,,,,,,,,,,D,Callan Foote (15299768),Callan Foote,15299768,D/UTIL,2500,NYI@TB 09/07/2020 08:00PM ET,TB,0
